Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
salon,1,Salon,NOUN,Sing,Nom,Fem,,,,,,,,,,
erschienen,1,erscheinen,VERB,,,,Part,,,,,,,,,
erschien,1,erscheinen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
pack,1,Pack,NOUN,Sing,Nom,Masc,,,,,,,,,,
kisten,1,kisen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
schwerter,1,schwert,NOUN,Plur,Nom,Neut,,,,,,,,,,
madame,1,madame,X,,,,,,,,,,Yes,,,
gerufen,1,rufen,VERB,,,,Part,,,,,,,,,
beinen,1,Bein,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
schlachtfeld,1,Schlachtfeld,PROPN,Sing,Nom,Neut,,,,,,,,,,
ruhm,1,Ruhm,NOUN,Sing,Nom,Masc,,,,,,,,,,
sontarianischen,1,sontarianischen,VERB,,,,Inf,,,,,,,,,
reiches,1,reich,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
commader,1,Commader,NOUN,Plur,Nom,Neut,,,,,,,,,,
sontaranischer,1,Sontaranischer,ADJ,Sing,Nom,Masc,,,,,Pos,,,,,
horde,1,Horde,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
herzustellen,1,herstellen,VERB,,,,Inf,,,,,,,,,
sontaran,1,sontaran,ADV,,,,,,,,,,,,,
erdulden,1,erduld,ADJ,Plur,Nom,,,,,,Pos,,,,,
schwachen,1,schwachen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
harcourt,1,Harcourt,PROPN,Sing,Nom,Neut,,,,,,,,,,
ruhmreichen,1,ruhmreichen,VERB,,,,Inf,,,,,,,,,
wiederzutreffen,1,wiederzutreffen,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
wertlosen,1,wertlosen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
gestalt,1,Gestalt,NOUN,Sing,Nom,Fem,,,,,,,,,,
zerquetschen,1,zerquetsch,VERB,,,,Inf,,,,,,,,,
auszuruhen,1,auszuruhen,VERB,,,,Inf,,,,,,,,,
schaltet,1,schalten,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
verkleidet,1,verkleiden,VERB,,,,Part,,,,,,,,,
memos,1,Memos,PROPN,Sing,Nom,Masc,,,,,,,,,,
nahm,1,nehmen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
schlittschuhlaufen,1,schlittschuhlaufen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
themse,1,Themse,PROPN,Sing,Nom,Fem,,,,,,,,,,
bridge,1,Bridge,PROPN,Sing,Nom,,,,,,,,,,,
sang,1,singen,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
verhaltensregeln,1,verhaltensregeln,VERB,,,,Inf,,,,,,,,,
schwebe,1,schweben,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
schmetterling,1,Schmetterling,X,,,,,,,,,,Yes,,,
steche,1,stech,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
biene,1,biener,PRON,Sing,Nom,Fem,,,,,,Ind,,,,
heels,1,Heel,NOUN,Sing,Gen,Neut,,,,,,,,,,
dunkelste,1,dunkel,ADJ,Sing,Nom,Fem,,,,,Sup,,,,,
zuvor,1,zuvor,ADV,,,,,,,,,,,,,
tiefer,1,tief,ADV,,,,,,,,Cmp,,,,,
herausfindet,1,herausfinden,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
scheinst,1,scheinst,ADV,,,,,,,,,,,,,
biest,1,Biest,PROPN,Sing,Nom,Neut,,,,,,,,,,
piekten,1,Piekt,NOUN,Plur,Nom,Masc,,,,,,,,,,
madam,1,Madam,PROPN,Sing,Nom,Neut,,,,,,,,,,
kovarian,1,Kovarian,PROPN,Sing,Nom,Masc,,,,,,,,,,
flucht,1,Flucht,NOUN,Sing,Nom,Fem,,,,,,,,,,
scheiterte,1,scheitern,VERB,Sing,,,Fin,3,Ind,Past,,,,,,
mut,1,Mut,NOUN,Sing,Nom,Masc,,,,,,,,,,
ferne,1,fernen,NOUN,Sing,Nom,Fem,,,,,,,,,,
bewundern,1,bewundern,VERB,,,,Inf,,,,,,,,,
monat,1,Monat,ADV,,,,,,,,,,,,,
galaxie,1,Galaxie,PROPN,Sing,Nom,,,,,,,,,,,
inzwischen,1,inzwischen,ADV,,,,,,,,,,,,,
eintreibt,1,eintreiben,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
schuldnern,1,schuldnern,VERB,,,,Inf,,,,,,,,,
vergeuden,1,vergeuden,NOUN,Plur,Nom,Fem,,,,,,,,,,
position,1,Position,NOUN,Sing,Nom,Fem,,,,,,,,,,
kunden,1,Kunde,NOUN,Plur,Nom,Masc,,,,,,,,,,
fett,1,Fett,NOUN,Sing,Nom,Neut,,,,,,,,,,
goblin,1,goblin,PROPN,Sing,Acc,,,,,,,,,,,
lebender,1,lebend,ADV,,,,,,,,Cmp,,,,,
atmender,1,atmend,ADJ,Sing,Nom,Masc,,,,,Pos,,,,,
umsehe,1,umsehen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
mitgebracht,1,mitbringen,VERB,,,,Part,,,,,,,,,
kindes,1,Kind,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
gebets,1,Gebet,PROPN,Sing,Gen,,,,,,,,,,,
blatt,1,Blatt,NOUN,Sing,Nom,Neut,,,,,,,,,,
weiterreden,1,weiterreden,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
dunkle,1,dunkle,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
besonders,1,besonders,ADV,,,,,,,,,,,,,
meinetwillen,1,meinetwillen,VERB,,,,Inf,,,,,,,,,
ihretwillen,1,ihretwillen,VERB,,,,Inf,,,,,,,,,
argumentiert,1,argumentieren,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
erfahrt,1,erfahren,VERB,,,,Part,,,,,,,,,
geopfert,1,opfern,VERB,,,,Part,,,,,,,,,
ketzerei,1,ketzerei,ADV,,,,,,,,Pos,,,,,
tode,1,Tod,NOUN,Plur,Nom,Masc,,,,,,,,,,
bestraft,1,bestrafen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
kapuze,1,kapuze,ADV,,,,,,,,Pos,,,,,
